"Date","Competition/Event","Home Team","Away Team","Home Goals","Away Goals","Result (W/D/L)","Goal Scorers (Croatia only","unless Own Goal/Opponent Scorer listed)","Time of Goals (Croatia only","unless Own Goal/Opponent Scorer listed)"
"2020-12-16","Friendly","Saudi Arabia","Croatia",0,1,"W","Andrej Kramarić","82'",NA,NA
"2021-03-26","Friendly","Croatia","Slovenia",1,1,"D","Andrej Kramarić; Opponent: Jaka Bijol (own goal? - info not specific)","39'; Opponent: 90+1'",NA,NA
"2021-03-29","Friendly","Croatia","Bulgaria",2,1,"W","Luka Modrić (pen), Andrej Kramarić; Opponent: Kiril Despodov","76' (pen), 80'; Opponent: 69'",NA,NA
"2021-06-06","UEFA Nations League A (2022-23 Season)","Croatia","France",1,1,"D","Nikola Vlašić","",NA,NA
"2021-06-10","UEFA Nations League A (2022-23 Season)","Denmark","Croatia",0,1,"W","Mario Pašalić","",NA,NA
"2021-06-13","UEFA Nations League A (2022-23 Season)","France","Croatia",0,1,"W","Andrej Kramarić (pen)","",NA,NA
"2021-09-22","UEFA Nations League A (2022-23 Season)","Croatia","Denmark",2,1,"W","Borna Sosa, Lovro Majer","",NA,NA
"2021-09-25","UEFA Nations League A (2022-23 Season)","Austria","Croatia",1,3,"W","Ivan Perišić, Marko Livaja, Dejan Lovren","",NA,NA
"2021-10-08","World Cup Qualifier (2022)","Cyprus","Croatia",0,3,"W","Ivan Perišić, Joško Gvardiol, Marko Livaja","",NA,NA
"2021-10-11","World Cup Qualifier (2022)","Croatia","Slovakia",2,2,"D","Andrej Kramarić, Marcelo Brozović","",NA,NA
"2021-11-11","World Cup Qualifier (2022)","Malta","Croatia",1,7,"W","Ivan Perišić, Duje Ćaleta-Car, Mario Pašalić, Luka Modrić (pen), Lovro Majer (2), Andrej Kramarić","",NA,NA
"2021-11-14","World Cup Qualifier (2022)","Croatia","Russia",1,0,"W","Fedor Kudryashov (own goal)","",NA,NA
"2022-11-23","2022 FIFA World Cup Group Stage (F)","Morocco","Croatia",0,0,"D","","",NA,NA
"2022-11-27","2022 FIFA World Cup Group Stage (F)","Croatia","Canada",4,1,"W","Andrej Kramarić (2), Marko Livaja, Lovro Majer","",NA,NA
"2022-12-01","2022 FIFA World Cup Group Stage (F)","Croatia","Belgium",0,0,"D","","",NA,NA
"2022-12-05","2022 FIFA World Cup Round of 16","Japan","Croatia",1,1,"D","Ivan Perišić","",NA,NA
"2022-12-09","2022 FIFA World Cup Quarter-finals","Brazil","Croatia",1,1,"D","Bruno Petković","",NA,NA
"2022-12-13","2022 FIFA World Cup Semi-finals","Argentina","Croatia",3,0,"L","","",NA,NA
"2022-12-17","2022 FIFA World Cup Third Place","Croatia","Morocco",2,1,"W","Joško Gvardiol, Mislav Oršić","",NA,NA
"2023-03-25","UEFA Euro 2024 Qualifying","Croatia","Wales",1,1,"D","Andrej Kramarić; Opponent: Nathan Broadhead","",NA,NA
